"Property","English","Spanish","German","Japanese","Korean","Chinese (Simplified)","Russian"
"_Use_1stShadeMapAlpha_As_ShadowMask","1st ShadeMap.a As ShadowMask","Usar alfa del mapa del primer sombreado como máscara de sombra","1. ShadeMap.a als ShadowMask","1 番目の 影マップ.a を 影マスク として利用","1번째 셰이드맵.a를 그림자 마스크로 사용","将第 1 阴影图 Alpha 用作阴影遮罩","Первая Карта Тени как Маска Тени (ShadowMask)"
"_1stShadeMapMask_Inverse","1st ShadeMapMask Inverse","Invertir la máscara del mapa del primer sombreado","1. ShadeMapMask Invers","1 番目の 影マップマスクを反転","1번째 셰이드맵 마스크 반전","反转第 1 阴影图遮罩","Инверсия Маски Первой Карты Тени"
"_Use_BaseAs1st","Use BaseMap as 1st ShadeMap","Usar mapa base como mapa del primer sombreado","Verwenden Sie BaseMap als 1. ShadeMap","ベースマップを1 番目の影マップとして使用","베이스맵을 1번째 셰이드맵으로 사용","使用底图作为第 1 阴影图","Использовать Базовую Карту (BaseMap) как Первую Карту Тени (ShadeMap)"
"_2nd_ShadeColor","2nd ShadeColor","Color del segundo sombreado","2. Farbton","2番目のシェー影ドカラー","두 번째 그림자 색상","第 2 阴影颜色","Второй Цвет Тени (ShadeColor)"
"_2nd_ShadeMap","2nd ShadeMap","Mapa del segundo sombreado","2. SchattenTextur","2 番目の影マップ","두 번째 그림자 맵","第 2 阴影贴图","Вторая Карта Тени (ShadeMap)"
"_2nd_ShadeMapPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_2nd_ShadeMapUV","UV","UV","UV","UV","UV","UV","UV"
"_Use_2ndShadeMapAlpha_As_ShadowMask","2nd ShadeMap.a As ShadowMask","Usar alfa del mapa del segundo sombreado como máscara de sombra","2. ShadeMap.a Als ShadowMask","2 番目の影マップ.a を影マスクとして利用","2번째 셰이드맵.a를 그림자 마스크로 사용","将第 2 阴影图 Alpha 用作阴影遮罩","Вторая Карта Тени как Маска Тени (ShadowMask)"
"_2ndShadeMapMask_Inverse","2nd ShadeMapMask Inverse","Invertir la máscara del mapa del segundo sombreado","2. ShadeMapMask Invers","2 番目の影マップマスクを反転","2번째 셰이드맵 마스크 반전","反转第 2 阴影图遮罩","Инверсия Маски Второй Карты Тени"
"_Use_1stAs2nd","Use 1st ShadeMap as 2nd_ShadeMap","Usar mapa del primer sombreado como segundo","Verwenden Sie die 1. ShadeMap als 2nd_ShadeMapen","1 番目の影マップを 2番目の影ドマップとして使用","1번째 셰이드맵을 2번째 셰이드맵으로 사용","使用第 1 阴影图作为第 2 阴影图","Использовать Первую Карту Тени как Вторую Карту Тени"
"_BaseColor_Step","BaseColor_Step","Umbral de color base","BaseColor_Step","ベースカラー・ステップ","베이스 색상 단계","基础色阶",""
"_BaseShade_Feather","Base/Shade_Feather","Suavizado de la base/sombreado","Basis/Schatten_Feder","ベース/影フェザー","베이스/그림자 페더","基础/阴影模糊",""
"_ShadeColor_Step","ShadeColor_Step","Umbral de color de sombreado","ShadeColor_Step","影色・ステップ","그림자 색상 단계","阴影色阶",""
"_1st2nd_Shades_Feather","1st/2nd_Shades_Feather","Suavizado entre el primer y segundo sombreado","1./2._Farbton_Feder","1/2番目の影フェザー","1/2번째 그림자 페더","第 1/2 阴影模糊",""
"_ShadingShadeMapBlendType","Blend Mode","Tipo de mezcla","Mischmodus","ブレンドモード","블렌드 모드","混合模式","Режим Смешивания"
"_SkinLUT","LUT","Tabla de búsqueda de pieles (Skin LUT)","LUT","LUT","LUT","皮肤 LUT","LUT"
"_SssScale","Scale","Escala","Skala","規模","스케일","缩放","Масштаб"
"_SkinThicknessMap","Thickness Map","Mapa del grosor","DickenTextur","厚さマップ","두께 맵","厚度图","Карта Толщины"
"_SkinThicknessMapPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_SkinThicknessMapUV","UV","UV","UV","UV","UV","UV","UV"
"_SkinThicknessMapInvert","Invert","Invertir","Umkehren","反転","반전","反转","Инвертировать"
"_SkinThicknessPower","Thickness Power","Potencia del grosor","Dickenleistung","厚みパワー","두께 파워","厚度强度","Мощность Толщины"
"_SssBumpBlur","Bump Blur","Desenfoque del relieve","Stoßunschärfe","バンプ ブラー","범프 블러","凹凸模糊","Размытие Выпуклостей"
"_SssTransmissionAbsorption","Absorption","Absorción de transmisión","Absorption","吸収","흡수","透射吸收","Поглощение"
"_SssColorBleedAoWeights","AO Color Bleed","Transferencia de color por oclusión ambiental (AO)","AO Farbverlauf","AO カラーブリード","AO 색상 번짐","AO 颜色溢出","Цветовое Окрашивание АО"
"_ClothDFG","MultiScatter Cloth DFG","Dispersión múltiple de la tela por DFG","MultiScatter Tuch DFG","マルチスキャッター クロス DFG","멀티 스캐터 천 DFG","多重散射布料 DFG",""
"_ClothMetallicSmoothnessMap","Maps (Expand)","Mapas metálicos/suavidad (Expandir)","Texturen (Erweitern)","マップ (拡大)","맵 (확장)","金属/光滑度图 (展开)","Карты (Развернуть)"
"_ClothMetallicSmoothnessMapPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_ClothMetallicSmoothnessMapInvert","Invert Smoothness","Invertir suavidad","Glätte umkehren","滑らかさを反転","부드러움 반전","反转光滑度","Инвертировать Гладкость"
"_ClothMetallicSmoothnessMapUV","UV","UV","UV","UV","UV","UV","UV"
"_ClothLerp","Clothmask Lerp","Interpolación (Lerp) de masas de tela","Stoffmaske Lerp","布仮面のラープ","천 마스크 Lerp","布料遮罩插值","Интерполяция (Lerp) тканевой маски"
"_ClothReflectance","Reflectance","Reflectancia","Reflexion","反射率","반사율","反射率","Отражательная способность"
"_ClothSmoothness","Smoothness","Suavidad","Glätte","滑らかさ","부드러움","光滑度","Гладкость"
"_SDFShadingTexture","SDF","Textura de sombreado SDF","SDF","SDF","SDF","SDF 阴影纹理","SDF"
"_SDFShadingTexturePan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_SDFShadingTextureUV","UV","UV","UV","UV","UV","UV","UV"
"_SDFBlur","Blur","Desenfoque","Verwischen","ぼかし","블러","模糊","Размытие"
"_SDFForward","Forward Direction","Dirección frontal","Vorwärtsrichtung","順方向","전방","前向方向","Фронтальное Направление"
"_SDFLeft","Left Direction","Dirección izquierda","Linke Richtung","左方向","좌방","左向方向","Левое Направление"
"_ShadowStrength","Shadow Strength","Intensidad de la sombra","Schattenstärke","影の強さ","그림자 강도","阴影强度","Сила Тени"
"_LightingIgnoreAmbientColor","Ignore Indirect Shadow Color","Ignorar el color de la luz ambiental","Ignorieren Sie die indirekte Schattenfarbe","間接的な影の色を無視","간접 그림자 색상 무시","忽略间接阴影颜色","Игнорировать Цвет Непрямой Тени"
"_LightingAdditiveType","Lighting Type","Tipo de iluminación","Beleuchtungstyp","光源の種類","조명 유형","光照类型","Тип Освещения"
"_LightingAdditiveGradientStart","Gradient Start","Inicio de gradiente","Gradientenstart","グラデーションの開始地点","그라데이션 시작","渐变开始","Начаго Градиента"
"_LightingAdditiveGradientEnd","Gradient End","Final de gradiente","Gradient Ende","グラデーションの終了地点","그라데이션 끝","渐变结束","Конец Градиента"
"m_start_Aniso","Anisotropics","Anisotropía ","Anisotrope","異方性光","이방성","各向异性 (Anisotropy)","Анизотропия"
"_EnableAniso","Enable Aniso","Activar anisotropía","Aktivieren Sie Aniso","アニソを有効にする","이방성 활성화","启用各向异性","Включить Анизотропию"
"_AnisoColorMap","Color & Offset","Mapa de color y desplazamiento","Farbe & Versatz","カラー＆オフセット","색상 & 오프셋","颜色 & 偏移","Цвет & Смещение"
"_AnisoColorMapPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_AnisoColorMapUV","UV","UV","UV","UV","UV","UV","UV"
"_AnisoUseLightColor","Mix Light Color","Mezclar con color de la luz","Lichtfarbe mischen","光源を混ぜる","라이트 색상 혼합","混合光照颜色","Смешать Цвет Освещения"
"_AnisoUseBaseColor","Mix Base Color","Mezclar con color base","Grundfarbe mischen","ベースカラーを混ぜる","베이스 색상 혼합","混合基础颜色","Смешать Базовый Цвет"
"_AnisoReplace","Replace Blending","Reemplazar","Mischen ersetzen","ブレンディングを置き換える","블렌드 교체","替换混合","Замена"
"_AnisoAdd","Add Blending","Agregar","Mischen hinzufügen","ブレンディングを追加","블렌드 추가","添加混合","Сложение"
"_AnisoHideInShadow","Hide In Shadow","Ocultar en la sombra","Im Schatten verstecken","影で隠れる","그림자에서 숨기기","在阴影中隐藏","Скрыть в Тени"
"_Aniso0Power","Power","Potencia","Leistung","力","파워","强度","Мощность"
"_Aniso0Strength","Strength","Intensidad","Stärke","強さ","강도","力度","Сила"
"_Aniso0Offset","Offset","Desplazamiento ","Versatz","オフセット","오프셋","偏移","Смещение"
"_Aniso0OffsetMapStrength","Map Offset Strength","Intensidad del mapa de desplazamiento ","Map-Offset-Stärke","マップ オフセットの強さ","맵 오프셋 강도","偏移图强度",""
"_Aniso0Tint","Tint","Tinte","Farbton","色合い","틴트","色调","Оттенок"
"_Aniso0SwitchDirection","Switch Direction","Cambiar dirección","Richtung wechseln","方向を切り替える","방향 전환","切换方向",""
"_Aniso0ToonMode","Stylized Mode","Modo estilizado (Toon Mode)","Mode zeigennl","Toonモード","툰 모드","卡通模式",""
"_Aniso0Edge","Edge","Borde","Kante","角","가장자리","边缘","Край"
"_Aniso0Blur","Blur","Desenfoque","Verwischen","ぼかし","블러","模糊","Размытие"
"_Aniso1Power","Power","Potencia","Leistung","力","파워","强度","Мощность"
"_Aniso1Strength","Strength","Intensidad","Stärke","強さ","강도","力度","Сила"
"_Aniso1Offset","Offset","Desplazamiento ","Versatz","オフセット","오프셋","偏移","Смещение"
"_Aniso1OffsetMapStrength","Map Offset Strength","Intensidad del mapa de desplazamiento ","Map-Offset-Stärke","マップ オフセットの強さ","맵 오프셋 강도","偏移图强度",""
"_Aniso1Tint","Tint","Tinte","Farbton","色合い","틴트","色调","Оттенок"
"_Aniso1SwitchDirection","Switch Direction","Cambiar dirección","Richtung wechseln","方向を切り替える","방향 전환","切换方向",""
"_Aniso1ToonMode","Stylized Mode","Modo estilizado (Toon Mode)","Mode zeigennl","Toonモード","툰 모드","卡通模式",""
"_Aniso1Edge","Edge","Borde","Kante","角","가장자리","边缘","Край"
"_Aniso1Blur","Blur","Desenfoque","Verwischen","ぼかし","블러","模糊","Размытие"
"_AnisoDebugToggle","Debug Toggle","Activar depuración","Debuggen","デバッグ","디버그","调试","Переключатель Отладки"
"_AnisoDebugMode","Debug Mode","Modo depuración","Visualisieren","視覚化する","시각화","可视化","Режим Отладки"
"m_start_matcap","Matcap 0","Captura de material (MatCap 0)","Matcap 0","マットキャップ 0","맷캡(금속) 0","MatCap 0","Matcap 0"
"_MatcapEnable","Enable Matcap}","Activar MatCap","Matcap aktivieren","マットキャップを有効にする","맷캡(금속) 활성화","启用 MatCap","Включить Matcap"
"_MatcapUVMode","UV Mode","Modo UV","UV-Modus","UVモード","UV 모드","UV 模式","Режим UV"
"_MatcapColor","Color","Color","Farbe","色","색상","颜色","Цвет"
"_Matcap","Matcap","MatCap","Matcap","マットキャップ","Matcap","MatCap","Matcap"
"_MatcapBorder","Border","Borde","Grenze","境界","경계","边界","Граница"
"_MatcapMask","Mask","Máscara","Maske","マスク","마스크","遮罩","Маска"
"_MatcapMaskPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_MatcapMaskUV","UV","UV","UV","UV","UV","UV","UV"
"_MatcapMaskChannel","Channel","Canal","Kanal","チャンネル","채널","通道","Канал"
"_MatcapMaskInvert","Invert","Invertir","Umkehren","反転","반전","反转","Инвертировать"
"_MatcapMaskGlobalMask","Global Mask","Máscara global","Globale Maske","グローバル マスク","글로벌 마스크","全局遮罩","Глобальная Маска"
"_MatcapMaskGlobalMaskBlendType","Blending","Tipo de mezcla","Mischen","ブレンディング","블렌딩","混合类型","Смешивание"
"_MatcapEmissionStrength","Emission Strength","Intensidad de la emisión","Emissionsstärke","発光の強さ","방출 강도","发光强度","Сила Свечения"
"_MatcapIntensity","Intensity","Intensidad","Intensität","明るさ","강도","亮度","Интенсивность"
"_MatcapLightMask","Hide in Shadow","Ocultar en la sombra","Im Schatten verstecken","影で隠れる","그림자에서 숨기기","在阴影中隐藏","Скрыть в Тени"
"_MatcapReplace","Replace","Reemplazar","Mischung ersetzen","ブレンドを置換","블렌드 교체","替换混合","Замена"
"_MatcapMultiply","Multiply","Multiplicar","Mischung multiplizieren","乗算ブレンド","블렌드 곱하기","乘法混合","Умножение"
"_MatcapAdd","Add","Agregar","Mischung hinzufügen","ブレンドを追加","블렌드 추가","添加混合","Сложение"
"_MatcapMixed","Mixed","Combinar","Gemischte Mischung","混合ブレンド","혼합 블렌드","混合混合","Смешанный"
"_MatcapAddToLight","Unlit Add","Agregar a la luz","Zum Licht hinzufügen","ライトに追加","라이트에 추가","添加到光照","Сложение (Unlit)"
"_MatcapAlphaOverride","Override Alpha","Anular alfa","Alpha überschreiben","アルファを無視する","알파 덮어쓰기","覆盖 Alpha","Перезаписать Альфу"
"_MatcapNormal","Normal Strength","Normal a usar","Normal zu verwenden","使用するノーマル","사용할 노멀","使用的法线","Сила Нормали"
"_Matcap0CustomNormal","Custom Normal","<size=13><b>Normal personalizado </b></size>","<size=13><b> Benutzerdefiniert Normal</b></size>","<size=13><b>カスタムノーマル(法線)</b></size>","<size=13><b>사용자 정의 노멀</b></size>","<size=13><b>自定义法线</b></size>","<size=13><b>Пользовательская Нормаль</b></size>"
"_Matcap0NormalMap","Normal Map","Mapa de normales","Normale Textur","ノーマルマップ (法線マップ)","노멀 맵","法线贴图","Карта Нормалей"
"_Matcap0NormalMapPan","Panning","Barrido","Bewegung","パンニング","패닝","平移","Прокрутка"
"_Matcap0NormalMapUV","UV","UV","UV","UV","UV","UV","UV"
"_Matcap0NormalMapScale","Intensity","Intensidad","Intensität","明るさ","강도","强度","Интенсивность"
"_MatcapHueShiftEnabled","Hue Shift","<size=13><b>Cambio de tono </b></size>","<size=13><b>Farbtonverschiebung</b></size>","<size=13><b>ぼかしシフト</b></size>","<size=13><b>색조 시프트</b></size>","<size=13><b>色相偏移</b></size>","<size=13><b>Сдвиг Тона</b></size>"
"_MatcapHueShiftSpeed","Shift Speed","Velocidad del cambio","Schaltgeschwindigkeit","シフトスピード","시프트 속도","偏移速度","Скорость Сдвига"
"_MatcapHueShift","Hue Shift","Cambio de tono","Farbtonverschiebung","ぼかしシフト","색조 시프트","色相偏移","Сдвиг Тона"
"_MatcapTPSDepthEnabled","TPS Depth Mask Enabled","<size=13><b>Máscara de profundidad TPS activada </b></size>","<size=13><b>TPS-Tiefenmaske aktiviert</b></size>","<size=13><b>TPS 深度マスク有効</b></size>","<size=13><b>TPS 깊이 마스크 활성화됨</b></size>","<size=13><b>启用 TPS 深度遮罩</b></size>","<size=13><b>Маска Глубины TPS Включена</b></size>"
"_MatcapTPSMaskStrength","TPS Mask Strength","Intensidad de la máscara TPS","Stärke der TPS-Maske","TPS マスクの強さ","TPS 마스크 강도","TPS 遮罩强度","Сила Маски TPS"
